city,month,zhvi,pred_pct_change,down_prob,actual_change,actual_dir,signal,score
Doylestown,2018-12-01,461030.17343437835,2.4481073282660133,0.24599652189558685,1.878635264451578,1,STRONG BUY,2
Doylestown,2019-01-01,461853.4282868999,2.047480333579809,0.20315810905664988,2.080798998927591,1,STRONG BUY,2
Doylestown,2019-02-01,462369.5948633506,2.2572282239493378,0.2451938786229262,2.1917863570830143,1,STRONG BUY,2
Doylestown,2019-03-01,463392.7016879079,2.617066406074968,0.23577726585637804,2.098510070918369,1,STRONG BUY,2
Doylestown,2019-04-01,465078.5821361213,2.9631205990723832,0.09757320000632741,1.857136031583062,1,STRONG BUY,2
Doylestown,2019-05-01,467493.7825328144,2.4452311268758278,0.14716929826222003,1.6687192596080536,1,STRONG BUY,2
Doylestown,2019-06-01,469691.2488522788,3.126874630708324,0.13835799510326874,1.5421553091164777,1,STRONG BUY,2
Doylestown,2019-07-01,471463.66979920655,2.400342785145102,0.08354748275272572,1.5426888221426571,1,STRONG BUY,2
Doylestown,2019-08-01,472503.74856286554,3.1966211783885328,0.14000322930598452,1.5810448574666405,1,STRONG BUY,2
Doylestown,2019-09-01,473117.0442007294,2.780262348830382,0.18113410046897926,1.8516238618571768,1,STRONG BUY,2
Doylestown,2019-10-01,473715.7240601469,3.283271752707693,0.05932167285638079,2.1476597498770955,1,STRONG BUY,2
Doylestown,2019-11-01,475294.9413194096,2.9735990183457295,0.05949263847135067,2.150662953137039,1,STRONG BUY,2
Doylestown,2019-12-01,476934.61738290975,2.947707232134099,0.08092021688517081,2.0915732584747104,1,STRONG BUY,2
Doylestown,2020-01-01,478736.8871336625,5.377682496630337,0.03141409298368547,1.8865119740385736,1,STRONG BUY,2
Doylestown,2020-02-01,479974.24478085584,3.8447099004635596,0.053986856142652084,2.124225467270646,1,STRONG BUY,2
Doylestown,2020-03-01,481877.3922856635,5.4247704536804875,0.028194090086138157,2.660620995377383,1,STRONG BUY,2
Doylestown,2020-04-01,483889.5259946254,4.020218315033864,0.017173818715004785,3.653679911115981,1,STRONG BUY,2
Doylestown,2020-05-01,485516.9335405006,4.294592296510811,0.02834729007245529,4.973403835129631,1,STRONG BUY,2
Doylestown,2020-06-01,486910.0543004994,5.3464750193304145,0.021589503295857293,6.334883001801983,1,STRONG BUY,2
Doylestown,2020-07-01,487768.3158335786,6.410000287926231,0.01420129873666831,7.56094733689654,1,STRONG BUY,2
Doylestown,2020-08-01,490169.9799248307,7.632230601467458,0.014087286744736804,8.34854550352353,1,STRONG BUY,2
Doylestown,2020-09-01,494698.3233567929,7.05463756957391,0.018907257152127266,8.685711545407182,1,STRONG BUY,2
