city,RegionName,month,zhvi,zhvi_mom,zhvi_yoy,zhvi_3m_fwd,zhvi_6m_fwd,zhvi_12m_fwd,zhvi_3m_avg
Indianapolis,"Indianapolis, IN",2008-03-01,134485.12269425858,-0.20549681837076506,-0.06524154677836069,-0.20345278466460393,-0.8995541702687904,-3.1617297227072294,134687.30694060854
Indianapolis,"Indianapolis, IN",2008-04-01,134291.21937289156,-0.14418198644012836,-0.3090988503938852,-0.14171112213393622,-1.0922791952256317,-3.1009393519110806,134512.79883187677
Indianapolis,"Indianapolis, IN",2008-05-01,134172.35533285563,-0.08851214591020229,-0.35232678171246423,-0.26685800373845714,-1.4011706383740052,-2.9462523031973498,134316.2324666686
Indianapolis,"Indianapolis, IN",2008-06-01,134211.5089671775,0.02918159573537249,-0.2545928156529098,-0.6975205105064219,-1.9209676430802625,-2.842924843337735,134225.02789097492
Indianapolis,"Indianapolis, IN",2008-07-01,134100.9137789909,-0.0824036545283624,-0.18984828568139323,-0.9519170454185377,-2.307126802093551,-2.68463853942309,134161.59269300802
Indianapolis,"Indianapolis, IN",2008-08-01,133814.3056638455,-0.21372569885521608,-0.3033700261073746,-1.1373477381050212,-2.498200609769563,-2.4583161960898714,134042.24280333798
Indianapolis,"Indianapolis, IN",2008-09-01,133275.35616467128,-0.40275925395309997,-0.48062210846596676,-1.2320408703423102,-2.2827097633094207,-2.0502267735580615,133730.1918691692
Indianapolis,"Indianapolis, IN",2008-10-01,132824.38432266665,-0.33837601712909393,-0.6895751996793376,-1.3682342113541357,-2.0308426282010683,-1.7760007823656387,133304.68205039448
Indianapolis,"Indianapolis, IN",2008-11-01,132292.3716851168,-0.400538380255111,-1.2540712496234563,-1.376508560643852,-1.5670385488619876,-1.3446179911922873,132797.37072415158
Indianapolis,"Indianapolis, IN",2008-12-01,131633.34930662825,-0.4981559934968627,-2.1384912822909885,-1.0637750361813691,-0.9400145761046752,-0.7306904651032897,132250.0351048039
Indianapolis,"Indianapolis, IN",2009-01-01,131007.03565534342,-0.47580165253251483,-2.824400313546138,-0.671800217251306,-0.38642710053657936,-0.14658523965799253,131644.25221569615
Indianapolis,"Indianapolis, IN",2009-02-01,130471.3558637924,-0.4088939108280454,-3.1839070596574426,-0.19318925484939076,0.04090633601547822,0.4888070768225061,131037.24694192136
Indianapolis,"Indianapolis, IN",2009-03-01,130233.06659741492,-0.18263722699889406,-3.1617297227072294,0.12509114848677783,0.23791387295764022,0.8793001613472073,130570.48603885026
Indianapolis,"Indianapolis, IN",2009-04-01,130126.93010519633,-0.08149734548345,-3.1009393519110806,0.2873032203733805,0.26012456641664183,1.2657303083282168,130277.11752213455
Indianapolis,"Indianapolis, IN",2009-05-01,130219.29922360725,0.07098386040171878,-2.9462523031973498,0.2345487137772606,0.22596146086706348,1.2998053379004837,130193.09864207283
Indianapolis,"Indianapolis, IN",2009-06-01,130395.97663613116,0.13567682638233602,-2.842924843337735,0.1126817695511928,0.21131046012741184,1.202628698150554,130247.4019883116
Indianapolis,"Indianapolis, IN",2009-07-01,130500.78896596156,0.08038003359787105,-2.68463853942309,-0.027100792507106508,0.24077227018113323,0.875844120324909,130372.02160856665
Indianapolis,"Indianapolis, IN",2009-08-01,130524.72691502598,0.018343145090615742,-2.4583161960898714,-0.008567158749539505,0.44771759594282035,0.4233918280229565,130473.83083903957
Indianapolis,"Indianapolis, IN",2009-09-01,130542.90913002832,0.013930092352665291,-2.0502267735580615,0.09851767911208675,0.639863963252929,-0.3995854870527449,130522.80833700528
Indianapolis,"Indianapolis, IN",2009-10-01,130465.42221792375,-0.05935742708734759,-1.7760007823656387,0.26794567809049763,1.002996701091674,-1.0447093852310685,130511.0194209927
Indianapolis,"Indianapolis, IN",2009-11-01,130513.54465446377,0.03688520354430125,-1.3446179911922873,0.45632384868090625,1.0714228742546794,-1.7938407610956664,130507.29200080528
